day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl
2025-07-11 00:00:00.000 UTC,7872.71495366839,72899106.1011821,23442552.97478282,72831880.469262,96274433.44404484
2025-07-12 00:00:00.000 UTC,8096.069094332375,72705923.3922813,23856247.70096626,72636540.73547074,96492788.436437
2025-07-13 00:00:00.000 UTC,7583.383606849038,71322811.93106371,22488692.869058445,71244081.9479352,93732774.81699364
2025-07-14 00:00:00.000 UTC,7068.9943928326575,72156059.16803676,21347237.67262926,72102951.0557797,93450188.72840896
2025-07-15 00:00:00.000 UTC,5859.933503643351,78884433.38805318,17651101.65877547,78853515.62044209,96504617.27921756
2025-07-16 00:00:00.000 UTC,5414.307884226135,72856294.41732138,17414995.72774992,72824493.90967438,90239489.63742428
2025-07-17 00:00:00.000 UTC,6328.802590965675,69975543.53300697,21601270.34940271,69934214.22760752,91535484.57701024
2025-07-18 00:00:00.000 UTC,7973.133985878088,66452998.97001928,28602780.164734412,66411920.402635306,95014700.56736971
2025-07-19 00:00:00.000 UTC,7381.327796746049,69260777.29631716,26297901.471503768,69224683.29277068,95522584.76427443
2025-07-20 00:00:00.000 UTC,6082.54629529524,74170209.63036531,22521397.48059609,74108826.31336817,96630223.79396428
2025-07-21 00:00:00.000 UTC,6190.986455703565,73216528.90832347,23359705.84500195,73160753.1667388,96520459.01174074
2025-07-22 00:00:00.000 UTC,6004.61385306501,72252390.62958258,22238212.50094816,72208866.84314816,94447079.34409632
2025-07-23 00:00:00.000 UTC,7134.187668666014,67721894.85374182,26077106.453017194,67687003.26372758,93764109.71674477
2025-07-24 00:00:00.000 UTC,6561.390116456609,70099413.55988532,24021556.32585738,70063798.43318267,94085354.75904006
2025-07-25 00:00:00.000 UTC,6375.229003424294,70568524.90550715,23376830.49606339,70556993.07742497,93933823.57348835
2025-07-26 00:00:00.000 UTC,6235.577949956703,71073233.87086159,23320188.33541189,71043243.18720676,94363431.52261864
2025-07-27 00:00:00.000 UTC,4993.111430908557,73609768.45863515,18982540.23108176,73560588.1876729,92543128.41875464
2025-07-28 00:00:00.000 UTC,5718.94720919873,70733576.13219768,21983427.746069137,70696816.28564617,92680244.0317153
2025-07-29 00:00:00.000 UTC,5802.0885009573285,69429559.69548047,22040432.470637973,69407284.13733664,91447716.60797462
2025-07-30 00:00:00.000 UTC,5699.6547334738025,69985330.37107569,21592778.802680857,69984118.02103007,91576896.82371092
2025-07-31 00:00:00.000 UTC,5415.917892243542,65068369.33854252,20635757.620668534,65057390.63273933,85693148.25340787
2025-08-01 00:00:00.000 UTC,5852.172277178372,61905567.922631025,21171024.27195235,61910582.05868299,83081606.33063534
2025-08-02 00:00:00.000 UTC,6201.573114095216,60589733.59524989,21562663.64460247,60626592.56023468,82189256.20483714
2025-08-03 00:00:00.000 UTC,5948.56612117033,62506361.509961665,20642373.970060214,62551435.5417616,83193809.5118218
2025-08-04 00:00:00.000 UTC,5087.288514393036,66427727.46662575,18353298.60572971,66461241.86969542,84814540.47542512
2025-08-05 00:00:00.000 UTC,5597.176514439696,64486335.62879425,20329237.78613357,64508112.0821678,84837349.86830136
2025-08-06 00:00:00.000 UTC,5355.190906980515,65922914.52174783,19447982.700335868,65950824.40678456,85398807.10712042
2025-08-07 00:00:00.000 UTC,4101.975991872696,69280275.03259337,15492076.867384205,69289372.87982161,84781449.74720582
2025-08-08 00:00:00.000 UTC,3891.277589180249,69741324.05662715,15367947.833446955,69707755.47480527,85075703.30825222
2025-08-09 00:00:00.000 UTC,3281.08666167103,70794365.45103109,13690541.55619775,70745329.53715046,84435871.0933482
2025-08-10 00:00:00.000 UTC,3390.634512042776,70191243.95265663,14323104.814559417,70134152.3933265,84457257.20788592
2025-08-11 00:00:00.000 UTC,3537.129737732601,69087471.9005915,15100548.227737593,69056964.26434499,84157512.49208258
2025-08-12 00:00:00.000 UTC,4749.688223241206,71274800.59582764,20823237.271660306,71234085.60843301,92057322.8800933
2025-08-13 00:00:00.000 UTC,6618.458651158584,71036414.65248668,30906761.69673112,70975651.87930323,101882413.57603437
2025-08-14 00:00:00.000 UTC,5643.020965443811,70736601.60410196,26257413.102581948,70708991.48744862,96966404.59003057
2025-08-15 00:00:00.000 UTC,4309.821029506191,67884789.6170097,19599231.674618483,67896422.90140839,87495654.57602687
2025-08-16 00:00:00.000 UTC,6329.202046444556,67357252.87339652,28040801.36900927,67369115.70180024,95409917.07080951
2025-08-17 00:00:00.000 UTC,6522.121158505852,78287229.3534013,29322359.06470986,78288178.85788777,107610537.92259765
